post_title,post_name,post_date,post_status,post_author,post_category,post_excerpt,post_content,custom_field_original_id
5/5 (日・祝) こどもの日ケーキご予約承ります🎏,5-5-kodomono-go-rimasu,2025-04-15 00:00:00,publish,admin,news,🎏5/5 (日・祝) こどもの日健やかな成長や幸せを願って・・・ご予約承っております！●ご予約受付中！　こいのぼりロール　￥2800(税込￥3024)●ご予約受付中！　こどもの日デコレーション　￥4500(税込￥4860)●ザウルスエッグ　￥640(税込￥691)●チョコバナナモンブラン　￥580(税込￥626)《店　　　 　　舗》3日前まで《オンラインショップ》4月29日24時まで↓↓↓写真をタップ　↓↓↓※5/4(日・祝)・5(日・祝)当日販売もございますが、品切れの際はご了承ください。,"<li class=""newsTxt"">
<p class=""mrgnB20"">🎏5/5 (日・祝) こどもの日<br/>健やかな成長や幸せを願って・・・ご予約承っております！<br/><br/><br/>●ご予約受付中！　こいのぼりロール　￥2800(税込￥3024)<br/><br/>●ご予約受付中！　こどもの日デコレーション　￥4500(税込￥4860)<br/><br/>●ザウルスエッグ　￥640(税込￥691)<br/><br/>●チョコバナナモンブラン　￥580(税込￥626)<br/><br/>《店　　　 　　舗》3日前まで<br/>《オンラインショップ》4月29日24時まで↓↓↓写真をタップ　↓↓↓<br/><br/>※5/4(日・祝)・5(日・祝)当日販売もございますが、品切れの際はご了承ください。</p>
<div class=""floatCenter mrgnB20""><a href=""https://cake-rivage.shop-pro.jp/?mode=grp&amp;gid=2717594"" target=""_blank""><img src=""/images/news/227-1-180150.jpg""/></a></div>
</li>",227
5/11(日)  母の日限定ケーキご予約受付中💐,5-11-no-go,2025-04-15 00:00:00,publish,admin,news,＼5/11(日)母の日〝いつもありがとう″／身近だからこそ普段なかなか伝えきれない「ありがとう」の気持ちを込めて特別なスイーツを送りませんか💐5/10㈯・11㈰の限定販売商品ですデコレーションケーキ🎂♥️スペシャルフラワー 4号サイズ ￥3500(税込￥3780)♥️いちごタルト 5号サイズ ￥4300(税込￥4644)カットケーキ🍰♥️紅茶のムース＆ゼリー ￥580(税込￥626)♥️苺のティラミス ￥680(税込￥734)♥️苺のスフレロール ￥680(税込￥734)※5/10㈯・11㈰当日販売もございますが、品切れの際はご了承下さい。《店　　　 　　舗》3日前まで《オンラインショップ》5月6日24時まで↓↓↓写真上をタップ　↓↓↓,"<li class=""newsTxt"">
<p class=""mrgnB20"">＼5/11(日)母の日〝いつもありがとう″／<br/>身近だからこそ普段なかなか伝えきれない「ありがとう」の気持ちを込めて<br/>特別なスイーツを送りませんか💐<br/>5/10㈯・11㈰の限定販売商品です<br/><br/>デコレーションケーキ🎂<br/>♥️スペシャルフラワー 4号サイズ ￥3500(税込￥3780)<br/><br/>♥️いちごタルト 5号サイズ ￥4300(税込￥4644)<br/><br/>カットケーキ🍰<br/>♥️紅茶のムース＆ゼリー ￥580(税込￥626)<br/><br/>♥️苺のティラミス ￥680(税込￥734)<br/><br/>♥️苺のスフレロール ￥680(税込￥734)<br/><br/><br/>※5/10㈯・11㈰当日販売もございますが、品切れの際はご了承下さい。<br/>《店　　　 　　舗》3日前まで<br/>《オンラインショップ》5月6日24時まで<br/>↓↓↓写真上をタップ　↓↓↓<br/></p>
<div class=""floatCenter mrgnB20""><a href=""https://cake-rivage.shop-pro.jp/?mode=grp&amp;gid=3019763"" target=""_blank""><img src=""/images/news/225-1-180315.jpg""/></a></div>
<div class=""floatCenter mrgnB20""><img src=""/images/news/225-2-180339.jpg""/></div>
</li>",225
【カフェ】期間限定🍊爽やかオレンジパフェが登場♪《東岸和田店限定》,yaka-ga,2025-04-14 00:00:00,publish,admin,news,,"<li class=""newsTxt"">
<div class=""floatCenter mrgnB20""><img src=""/images/news/230-1-190149.jpg""/></div>
</li>",230
🐰こども大人も楽しい♪GWのお知らせ🎏,kodomo-mo-shii-gwnoo-rase,2025-04-14 00:00:00,publish,admin,news,,"<li class=""newsTxt"">
<div class=""floatCenter mrgnB20""><img src=""/images/news/229-1-150707.jpg""/></div>
</li>",229
【カフェ】期間限定🐰ママうさぎのいちごパフェが登場🍓《鳳店限定》,usaginoichigo-ga,2025-04-14 00:00:00,publish,admin,news,,"<li class=""newsTxt"">
<div class=""floatCenter mrgnB20""><img src=""/images/news/228-1-122401.jpg""/></div>
</li>",228
22日は「ショートケーキの日」🍓,22-ha-no,2025-03-09 00:00:00,publish,admin,news,＼22日は「ショートケーキの日」／🍓3月22日いちごショートに「くじピック」をお付けしております♪当たりが出ると（　＾ω＾）・・・いちごショート又は￥600(税込￥648)以下のケーキをプレゼント！,"<li class=""newsTxt"">
<p class=""mrgnB20"">＼22日は「ショートケーキの日」／<br/><br/>🍓3月22日　<br/>いちごショートに「くじピック」をお付けしております♪<br/>当たりが出ると（　＾ω＾）・・・<br/>いちごショート又は￥600(税込￥648)以下のケーキをプレゼント！</p>
<div class=""floatCenter mrgnB20""><img src=""/images/news/58-1-184751.jpg""/></div>
</li>",58
Instagram写真投稿キャンペーン2025年　第1弾📱,instagram-2025-1,2025-02-15 00:00:00,publish,admin,news,＼Instagram投稿キャンペーン2025年　第1弾／2/15～5/11の期間中に、リバージュのスイーツを撮って「♯リバージュ苺フェア2025」でInstagramに投稿してください。ご応募いただいた方の中から抽選で3名様にリバージュ商品券500円をプレゼント！皆様のご応募をお待ちしております💕【当選発表について】・当選発表は、DMにてご連絡させて頂きます。※プレゼントは、店頭でのお渡しとなります。・当選のご連絡から1週間以内にご返事がない場合は、当選を取消とさせていただきます。・当選に関するご質問はお答え出来かねます。リバージュ公式Instagramは、写真をクリック‼,"<li class=""newsTxt"">
<p class=""mrgnB20"">＼Instagram投稿キャンペーン2025年　第1弾／<br/><br/>2/15～5/11の期間中に、リバージュのスイーツを撮って<br/>「♯リバージュ苺フェア2025」でInstagramに投稿してください。<br/>ご応募いただいた方の中から抽選で3名様にリバージュ商品券500円をプレゼント！<br/><br/>皆様のご応募をお待ちしております💕<br/><br/>【当選発表について】<br/>・当選発表は、DMにてご連絡させて頂きます。※プレゼントは、店頭でのお渡しとなります。<br/>・当選のご連絡から1週間以内にご返事がない場合は、当選を取消とさせていただきます。<br/>・当選に関するご質問はお答え出来かねます。<br/><br/>リバージュ公式Instagramは、写真をクリック‼</p>
<div class=""floatCenter mrgnB20""><a href=""https://www.instagram.com/rivage.sakai1971/"" target=""_blank""><img src=""/images/news/221-1-101207.jpg""/></a></div>
</li>",221
各種お祝いケーキのご予約承ります🎂,o-i-nogo-rimasu,2025-01-13 00:00:00,publish,admin,news,ご成人、合格、ご卒園・ご卒業、ご入園・ご入学、ご就職に各種お祝いケーキで笑顔あふれるひと時を・・・写真をクリックすると、デコレーションページからお好きな種類をご予約いただけます。※会員登録(無料)でWebサイトから24時間お好きな時にご予約いただけます！WEB予約は、受取日の5日前まで承っております♪ご不明な点がございましたら、お気軽にお問合せください。,"<li class=""newsTxt"">
<p class=""mrgnB20"">ご成人、合格、ご卒園・ご卒業、ご入園・ご入学、ご就職に<br/>各種お祝いケーキで笑顔あふれるひと時を・・・<br/><br/>写真をクリックすると、デコレーションページからお好きな種類をご予約いただけます。<br/>※会員登録(無料)でWebサイトから24時間お好きな時にご予約いただけます！<br/>　WEB予約は、受取日の5日前まで承っております♪<br/>　ご不明な点がございましたら、お気軽にお問合せください。</p>
<div class=""floatCenter mrgnB20""><a href=""https://www.rivage.jp/5/"" target=""_blank""><img src=""/images/news/191-1-131613.jpg""/></a></div>
</li>",191
価格改定のお知らせ,noo-rase,2024-12-02 00:00:00,publish,admin,news,平素は、ケーキハウスリバージュをご愛顧いただき誠にありがとうございます。昨今の原材料や資材の価格高騰が続く中品質を維持しながら価格を維持できるように努めて参りましたが12月9日より生ケーキ(各種お祝いケーキを含む)の価格改定をさせていただきます。心苦しい限りではございますが、何卒ご理解賜りますようお願い申し上げます。,"<li class=""newsTxt"">
<p class=""mrgnB20"">平素は、ケーキハウスリバージュをご愛顧いただき誠にありがとうございます。<br/>昨今の原材料や資材の価格高騰が続く中<br/>品質を維持しながら価格を維持できるように努めて参りましたが<br/>12月9日より生ケーキ(各種お祝いケーキを含む)の価格改定をさせていただきます。<br/>心苦しい限りではございますが、何卒ご理解賜りますようお願い申し上げます。</p>
<div class=""floatCenter mrgnB20""><img src=""/images/news/142-1-181451.jpg""/></div>
</li>",142
【カフェ】8/13(火)～和スイーツ登場《鳳店・東岸和田店》,8-13,2024-08-13 00:00:00,publish,admin,news,↓↓↓その他メニューは、写真をクリック↓↓↓,"<li class=""newsTxt"">
<p class=""mrgnB20"">↓↓↓その他メニューは、写真をクリック↓↓↓</p>
<div class=""floatCenter mrgnB20""><a href=""https://www.rivage.jp/cafe/"" target=""_blank""><img src=""/images/news/201-1-125722.jpg""/></a></div>
</li>",201
